                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.15,                 2.4135,                 1.9136,                 1.3327,                0.43081,                0.66872,                0.50866,                0.31099,                0.45422,                0.57228,                0.47679,                0.26083,                 1.3068,                 3.1002,                 3.9182,                 1.6634,              0.0002727,              0.0002727,              0.0002727
                      2,                0.99581,                 1.8793,                 1.1306,                 1.2432,                0.46729,                 0.4503,                0.37393,                0.24575,                0.28007,                0.45974,                0.31911,                0.14887,                 1.2037,                 3.6443,                 3.6838,                 1.6929,             0.00055339,             0.00055339,             0.00055339
                      3,                 1.0398,                  1.925,                 1.1084,                 1.2502,                 0.5096,                0.66578,                0.56021,                0.35952,                0.49927,                 0.6316,                0.51354,                0.27452,                  1.223,                 4.3353,                 4.9566,                 1.8352,             0.00083297,             0.00083297,             0.00083297
                      4,                 1.0509,                 1.9401,                 1.0766,                 1.2607,                0.51784,                0.55387,                 0.5643,                0.37183,                0.51432,                0.53813,                0.52984,                0.32554,                 1.1649,                 3.1047,                 2.4737,                  1.723,              0.0009036,              0.0009036,              0.0009036
                      5,                 1.0073,                 1.8741,                0.99882,                 1.2361,                0.61974,                0.54466,                0.58817,                 0.4099,                0.64445,                0.52846,                0.57961,                0.37499,                 1.0527,                 2.3685,                 1.7327,                  1.513,              0.0009036,              0.0009036,              0.0009036
                      6,                 1.0076,                 1.8382,                0.98059,                  1.251,                0.56825,                 0.7263,                0.71354,                0.47975,                0.55622,                0.70938,                0.68658,                0.42914,                 1.0501,                 2.0502,                 1.5066,                  1.459,              0.0009018,              0.0009018,              0.0009018
                      7,                  1.003,                 1.8201,                0.98284,                 1.2409,                0.66145,                0.59043,                0.61946,                0.44008,                0.64748,                0.57987,                  0.597,                0.39963,                 1.1263,                 2.1812,                 1.5121,                 1.5022,                 0.0009,                 0.0009,                 0.0009
                      8,                0.98063,                 1.7952,                0.93734,                 1.2275,                0.65849,                0.70979,                0.73295,                0.53282,                0.65836,                0.70222,                0.72293,                 0.4684,                 1.0286,                 2.0874,                 1.2598,                 1.3486,              0.0008982,              0.0008982,              0.0008982
                      9,                0.94286,                 1.7426,                0.88678,                 1.1931,                0.62206,                0.68291,                0.65679,                0.46919,                0.61254,                0.67711,                0.64358,                0.39094,                 1.0025,                 2.0316,                 1.5686,                 1.3564,              0.0008964,              0.0008964,              0.0008964
                     10,                0.95505,                 1.7727,                0.88743,                 1.2049,                0.74807,                0.67283,                0.69025,                0.49244,                0.73357,                0.66077,                0.67431,                0.45059,                 1.0067,                 1.9185,                 1.0936,                 1.3128,              0.0008946,              0.0008946,              0.0008946
                     11,                0.92026,                 1.6665,                0.83099,                 1.1787,                0.70985,                0.65041,                0.70972,                0.49152,                0.74859,                0.67019,                0.72636,                0.49496,                 1.0067,                  1.708,                 1.0275,                 1.2814,              0.0008928,              0.0008928,              0.0008928
