                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3128,                  2.779,                 2.5451,                 1.3456,                0.58326,                0.55898,                0.58642,                0.42191,                0.58041,                0.55482,                0.57304,                0.37808,                 1.0372,                 1.8063,                 1.9094,                 1.2574,              0.0002727,              0.0002727,              0.0002727
                      2,                 1.0143,                 1.9133,                 1.1495,                 1.1678,                0.61046,                0.57139,                0.56504,                0.37627,                0.59865,                0.55546,                0.54521,                0.33994,                 1.1005,                  2.172,                 1.9491,                 1.3421,             0.00055339,             0.00055339,             0.00055339
                      3,                 1.0132,                 1.8545,                  1.045,                  1.155,                0.49372,                0.69359,                0.60618,                0.38049,                 0.4784,                0.66471,                0.57891,                0.36597,                 1.1843,                 2.4026,                 1.5526,                 1.4444,             0.00083297,             0.00083297,             0.00083297
                      4,                 1.0208,                 1.8463,                 1.0495,                 1.1623,                0.58948,                 0.5157,                0.59495,                0.40968,                0.57876,                 0.5183,                0.56724,                0.35987,                 1.0842,                 1.9762,                  1.275,                 1.3327,              0.0009036,              0.0009036,              0.0009036
                      5,                0.96477,                 1.7441,                0.96285,                 1.1286,                0.78467,                0.58962,                0.67836,                0.46778,                0.77854,                0.58146,                0.66035,                0.42928,                  1.055,                 1.9296,                 1.0315,                 1.2873,              0.0009036,              0.0009036,              0.0009036
                      6,                0.95916,                 1.7418,                0.92742,                 1.1375,                0.63718,                0.65059,                0.67004,                0.47373,                0.63868,                0.64667,                0.65903,                0.44742,                 1.0684,                 1.8539,                  1.176,                 1.2538,              0.0009018,              0.0009018,              0.0009018
                      7,                0.96389,                 1.7246,                0.93354,                 1.1339,                0.72225,                0.56966,                 0.6638,                0.47473,                0.73298,                0.57209,                 0.6533,                0.43139,                0.98284,                 1.7985,                 1.1467,                 1.1549,                 0.0009,                 0.0009,                 0.0009
                      8,                0.93778,                 1.7122,                0.89469,                 1.1237,                0.70915,                0.71863,                0.72872,                0.53896,                0.70103,                0.71134,                0.71955,                0.48573,                  0.967,                 1.8153,                0.90426,                 1.1794,              0.0008982,              0.0008982,              0.0008982
                      9,                 0.9159,                 1.6648,                0.85968,                 1.1056,                0.74678,                0.71168,                0.76548,                 0.5454,                0.78883,                0.64832,                0.75268,                0.50591,                0.99265,                 1.7281,                0.96552,                 1.1957,              0.0008964,              0.0008964,              0.0008964
                     10,                0.93415,                 1.6776,                  0.851,                  1.115,                0.72542,                0.72094,                0.71317,                0.50537,                0.73805,                0.69334,                0.69501,                0.47857,                 1.0054,                 1.8392,                0.99447,                 1.1894,              0.0008946,              0.0008946,              0.0008946
                     11,                 0.9165,                 1.6066,                0.82194,                 1.0964,                0.81566,                0.70494,                0.82759,                0.59965,                0.81506,                0.70603,                0.82233,                0.57843,                0.94944,                 1.5404,                0.90092,                 1.1286,              0.0008928,              0.0008928,              0.0008928
                     12,                0.90418,                  1.621,                0.80831,                 1.0975,                0.80634,                0.65626,                0.77678,                0.56412,                0.80305,                0.65224,                0.75353,                0.51628,                0.93752,                 1.6723,                 0.8825,                 1.1612,               0.000891,               0.000891,               0.000891
